time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,F,TOTAL,AT	54.1 	38.5 	59.8 	64.5 
2008,18P5-25,F,TOTAL,BE	54.5 	42 	55.7 	65.9 
2008,18P5-25,F,TOTAL,BG	50.7 	44.1 	51.3 	59.7 
2008,18P5-25,F,TOTAL,CY	52.8 	38 	57.9 	66.3 
2008,18P5-25,F,TOTAL,CZ	47.4 	40.7 	46.8 	62.2 
2008,18P5-25,F,TOTAL,DE	52.1 	44.3 	52.6 	62.5 
2008,18P5-25,F,TOTAL,EE	48 	37.2 	49.1 	62.7 
2008,18P5-25,F,TOTAL,EL	48 	33.2 	56.5 	64.5 
2008,18P5-25,F,TOTAL,ES	53.2 	41.4 	62.6 	68.8 
2008,18P5-25,F,TOTAL,FR	57.7 	46.6 	60.2 	70.9 
2008,18P5-25,F,TOTAL,HU	45.2 	36.3 	45.4 	57.8 
2008,18P5-25,F,TOTAL,LV	43.5 	34.4 	42 	54.5 
2008,18P5-25,F,TOTAL,MT	46 u	31.4 u	52.3 	55.1 
2008,18P5-25,F,TOTAL,PL	50.1 	36.8 	49.9 	64.7 
2008,18P5-25,F,TOTAL,RO	52.8 	50 	53.5 	59.5 
2008,18P5-25,F,TOTAL,SI	50.6 	30.2 	54.5 	71.0 
2008,18P5-25,F,TOTAL,SK	52.5 	35.1 	53.5 	62.1 
2008,18P5-25,F,TOTAL,TR	46.6 u	40.9 u	64.4 	61 
2008,18P5-25,F,Y18-24,AT	73.9 	63.6 	77.6 	73 
2008,18P5-25,F,Y18-24,BE	78.6 	69.7 	80.7 	80.1 
2008,18P5-25,F,Y18-24,BG	70.5 	72.7 	71.9 	: 
2008,18P5-25,F,Y18-24,CY	73.4 	61.2 u	75.1 	74 
2008,18P5-25,F,Y18-24,CZ	74.2 	76.1 u	71.4 	: 
2008,18P5-25,F,Y18-24,DE	74.9 	74.8 	74.4 	81 
2008,18P5-25,F,Y18-24,EE	73.2 	72.5 	74.9 	64.3 u
2008,18P5-25,F,Y18-24,EL	71.1 	71.6 u	71.2 	70.8 u
2008,18P5-25,F,Y18-24,ES	69.7 	63.6 	73.7 	72.7 
2008,18P5-25,F,Y18-24,FR	70.4 	61 	71 	75.7 
2008,18P5-25,F,Y18-24,HU	70.1 	76.6 	66.9 	74.1 u
2008,18P5-25,F,Y18-24,LV	79.9 	71.1 	80.9 	88.6 
2008,18P5-25,F,Y18-24,MT	63.1 	: 	64.6 	60 
2008,18P5-25,F,Y18-24,PL	74.5 	77 	73 	79.8 
2008,18P5-25,F,Y18-24,RO	77.3 	78 	76.7 	81 u
2008,18P5-25,F,Y18-24,SI	72.7 	59.6 u	76.4 	: 
2008,18P5-25,F,Y18-24,SK	75.9 	81.1 	75.1 	74 
2008,18P5-25,F,Y18-24,TR	74.3 	72.8 u	76 	79.7 
2008,18P5-25,F,Y25-34,AT	69 	48.4 	73.4 	72.1 
2008,18P5-25,F,Y25-34,BE	59.6 	44.7 	53.5 	67.2 
2008,18P5-25,F,Y25-34,BG	69.1 	59 	72.4 	71.2 
2008,18P5-25,F,Y25-34,CY	66.5 	58.4 	64 	70.4 
2008,18P5-25,F,Y25-34,CZ	66.2 	: 	65.8 	65.5 u
2008,18P5-25,F,Y25-34,DE	61.2 	61.9 	57.4 	70.2 
2008,18P5-25,F,Y25-34,EE	68.2 	54.7 	69 	74 
2008,18P5-25,F,Y25-34,EL	68 	55.7 	67.6 	74.2 
2008,18P5-25,F,Y25-34,ES	67.4 	59 	64.8 	74.8 
2008,18P5-25,F,Y25-34,FR	64.9 	51 	62.1 	71.1 
2008,18P5-25,F,Y25-34,HU	66 	49 u	64.9 	72.8 
